CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E1100*,E1100,1100,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E1200,E1200,1200,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E1201,E1201,1201,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E1202,E1202,1202,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E1400,E1400,1400,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
1450,1450,1450,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E1450,E1450,1450,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E1510**,E1510,1510,RED,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E1517*,E1517,1517,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E1518*,E1518,1518,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E1520*,E1520,1520,RED,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
