CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E932,E932,932,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E526,E526,526,BLACK,NORMAL,INCELTICILER
E950,E950,950,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E527,E527,527,BLACK,NORMAL,INCELTICILER
E951*,E951,951,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E528,E528,528,BLACK,NORMAL,INCELTICILER
E952,E952,952,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E529,E529,529,BLACK,NORMAL,INCELTICILER
E954,E954,954,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E530,E530,530,BLACK,NORMAL,INCELTICILER
E957,E957,957,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E535,E535,535,BLACK,NORMAL,INCELTICILER
E965,E965,965,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E536,E536,536,BLACK,NORMAL,INCELTICILER
E966**,E966,966,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E540,E540,540,BLACK,NORMAL,INCELTICILER
E967,E967,967,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E541,E541,541,BLACK,NORMAL,INCELTICILER
E999,E999,999,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E542**,E542,542,BLACK,VITAL_2,INCELTICILER
E1100*,E1100,1100,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E544*,E544,544,BLACK,VITAL_1,INCELTICILER
E1200,E1200,1200,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E545,E545,545,BLACK,NORMAL,INCELTICILER
E1201,E1201,1201,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E551,E551,551,BLACK,NORMAL,INCELTICILER
E1202,E1202,1202,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E552,E552,552,BLACK,NORMAL,INCELTICILER
E1400,E1400,1400,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
1450,1450,1450,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E553(a),E553(a),553,BLACK,NORMAL,INCELTICILER
E1450,E1450,1450,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E553(b),E553(b),553,BLACK,NORMAL,INCELTICILER
E1510**,E1510,1510,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E554,E554,554,BLACK,NORMAL,INCELTICILER
E1517*,E1517,1517,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E556*,E556,556,BLACK,VITAL_1,INCELTICILER
E1518*,E1518,1518,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E558,E558,558,BLACK,NORMAL,INCELTICILER
E1520*,E1520,1520,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E559,E559,559,BLACK,NORMAL,INCELTICILER
E570*,E570,570,BLACK,VITAL_1,INCELTICILER
E572*,E572,572,BLACK,VITAL_1,INCELTICILER
E575,E575,575,BLACK,NORMAL,INCELTICILER
E576,E576,576,BLACK,NORMAL,INCELTICILER
E577,E577,577,BLACK,NORMAL,INCELTICILER
E578,E578,578,BLACK,NORMAL,INCELTICILER
E579,E579,579,BLACK,NORMAL,INCELTICILER
E585*,E585,585,BLACK,VITAL_1,INCELTICILER
